,0
0,1722
1,1982
2,327
3,425
4,2394
5,2313
6,2387
7,497
8,1877
9,1721
10,2013
11,1359
12,1269
13,666
14,335
15,570
16,1291
17,294
18,1912
19,1459
20,2089
21,120
22,782
23,84
24,336
25,651
26,2240
27,40
28,1078
29,883
30,134
31,1458
32,464
33,1376
34,2312
35,244
36,1531
37,391
38,1290
39,2334
40,205
41,489
42,2429
43,420
44,2130
45,249
46,1682
47,1383
48,1781
49,1700
50,2152
51,964
52,694
53,320
54,1723
55,1444
56,2322
57,2231
58,6
59,1793
60,2283
61,527
62,1210
63,837
64,935
65,417
66,243
67,1499
68,1801
69,493
70,2291
71,2297
72,1126
73,840
74,1538
75,794
76,47
77,1118
78,582
79,756
80,2221
81,777
82,1186
83,350
84,1962
85,886
86,642
87,2405
88,904
89,1526
90,295
91,1896
92,1536
93,2169
94,1514
95,459
96,823
97,1960
98,2304
99,215
100,1856
101,1147
102,2272
103,502
104,1732
105,1310
106,171
107,55
108,1908
109,1285
110,1773
111,2465
112,1361
113,1951
114,2368
115,1450
116,1772
117,1429
118,2363
119,2191
120,738
121,1529
122,1392
123,1545
124,1987
125,1436
126,1491
127,2162
128,1019
129,1325
130,8
131,1158
132,1485
133,2046
134,1564
135,2317
136,364
137,324
138,592
139,524
140,797
141,315
142,50
143,86
144,222
145,975
146,1627
147,947
148,750
149,776
150,1143
151,162
152,254
153,593
154,900
155,2261
156,1525
157,2346
158,532
159,2214
160,2466
161,686
162,531
163,1268
164,369
165,1736
166,1500
167,1470
168,1094
169,408
170,1506
171,1554
172,370
173,1277
174,87
175,2296
176,148
177,325
178,1060
179,1983
180,1541
181,1624
182,736
183,1899
184,1755
185,1597
186,637
187,161
188,956
189,1756
190,1572
191,1421
192,1729
193,1978
194,2260
195,2425
196,895
197,2471
198,1571
199,2374
200,1703
201,1008
202,463
203,74
204,221
205,508
206,59
207,210
208,1864
209,799
210,877
211,849
212,1018
213,2428
214,1305
215,1035
216,516
217,963
218,1351
219,2067
220,1462
221,514
222,2384
223,1505
224,2176
225,329
226,61
227,1069
228,2349
229,617
230,115
231,2308
232,2182
233,1937
234,105
235,1333
236,515
237,1586
238,268
239,1513
240,1384
241,1465
242,2068
243,1190
244,1248
245,1623
246,1121
247,138
248,1197
249,1931
250,1278
251,1064
252,820
253,482
254,2204
255,2073
256,339
257,2137
258,135
259,107
260,1986
261,1202
262,67
263,2377
264,1346
265,189
266,1332
267,351
268,990
269,1728
270,924
271,973
272,1228
273,501
274,1256
275,80
276,854
277,1730
278,1913
279,181
280,1868
281,479
282,1329
283,558
284,1989
285,740
286,943
287,907
288,899
289,1556
290,902
291,2404
292,380
293,1377
294,1227
295,1076
296,938
297,1011
298,1669
299,2409
